"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"66",2017-03-07 20:00:00,2017-03-07 18:45:00,2017-03-07 14:55:00,2017-03-07 20:00:00,2017-03-07 20:00:00,2017-03-07 18:52:00,2017-03-07 20:40:00,2017-03-07 19:35:00
"67",2017-03-08 19:35:00,2017-03-08 19:55:00,2017-03-08 19:00:00,2017-03-08 18:55:00,2017-03-08 19:45:00,2017-03-08 19:37:00,2017-03-08 20:40:00,2017-03-08 20:20:00
"68",2017-03-09 19:20:00,2017-03-09 19:55:00,2017-03-09 21:35:00,2017-03-09 21:00:00,2017-03-09 20:40:00,2017-03-09 20:30:00,2017-03-09 20:40:00,2017-03-09 20:40:00
"69",2017-03-10 19:45:00,2017-03-10 20:00:00,2017-03-10 19:45:00,2017-03-10 19:35:00,2017-03-10 19:55:00,2017-03-10 19:57:00,2017-03-10 20:40:00,2017-03-10 19:45:00
"70",2017-03-11 20:05:00,2017-03-11 20:00:00,2017-03-11 19:55:00,2017-03-11 20:10:00,2017-03-11 20:00:00,2017-03-11 20:10:00,2017-03-11 20:40:00,2017-03-11 19:50:00
"71",2017-03-12 18:35:00,2017-03-12 19:15:00,2017-03-12 18:00:00,2017-03-12 18:50:00,2017-03-12 19:55:00,2017-03-12 18:55:00,2017-03-12 19:55:00,2017-03-12 18:40:00
"72",2017-03-13 20:15:00,2017-03-13 20:00:00,2017-03-13 20:55:00,2017-03-13 20:00:00,2017-03-13 20:40:00,2017-03-13 20:26:00,2017-03-13 21:00:00,2017-03-13 19:50:00
"73",2017-03-14 19:30:00,2017-03-14 20:00:00,2017-03-14 21:00:00,2017-03-14 21:00:00,2017-03-14 20:35:00,2017-03-14 20:26:00,2017-03-14 20:40:00,2017-03-14 19:50:00
"74",2017-03-15 20:00:00,2017-03-15 20:00:00,2017-03-15 21:00:00,2017-03-15 20:00:00,2017-03-15 20:05:00,2017-03-15 20:20:00,2017-03-15 20:40:00,2017-03-15 20:10:00
"75",2017-03-16 19:50:00,2017-03-16 19:20:00,2017-03-16 20:00:00,2017-03-16 19:40:00,2017-03-16 19:55:00,2017-03-16 19:54:00,2017-03-16 20:40:00,2017-03-16 19:45:00
"76",2017-03-17 20:15:00,2017-03-17 19:45:00,2017-03-17 23:05:00,2017-03-17 20:05:00,2017-03-17 19:55:00,2017-03-17 20:46:00,2017-03-17 20:40:00,2017-03-17 19:35:00
"77",2017-03-18 17:50:00,2017-03-18 20:05:00,2017-03-18 19:50:00,2017-03-18 19:40:00,2017-03-18 20:05:00,2017-03-18 19:37:00,2017-03-18 20:40:00,2017-03-18 19:25:00
