"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"57",2017-02-26 20:00:00,2017-02-26 13:25:00,2017-02-26 18:00:00,2017-02-26 21:00:00,2017-02-26 20:00:00,2017-02-26 18:41:00,2017-02-26 21:00:00,2017-02-26 19:10:00
"58",2017-02-27 19:40:00,2017-02-27 18:25:00,2017-02-27 20:25:00,2017-02-27 19:15:00,2017-02-27 20:05:00,2017-02-27 19:41:00,2017-02-27 20:40:00,2017-02-27 19:45:00
"59",2017-02-28 19:20:00,2017-02-28 19:40:00,2017-02-28 20:00:00,2017-02-28 19:20:00,2017-02-28 19:45:00,2017-02-28 19:48:00,2017-02-28 20:40:00,2017-02-28 19:45:00
"60",2017-03-01 19:00:00,2017-03-01 11:55:00,2017-03-01 20:00:00,2017-03-01 19:00:00,2017-03-01 20:05:00,2017-03-01 17:55:00,2017-03-01 19:40:00,2017-03-01 18:30:00
"61",2017-03-02 20:20:00,2017-03-02 22:00:00,2017-03-02 18:30:00,2017-03-02 21:00:00,2017-03-02 20:00:00,2017-03-02 20:30:00,2017-03-02 20:40:00,2017-03-02 20:35:00
"62",2017-03-03 20:00:00,2017-03-03 19:50:00,2017-03-03 19:15:00,2017-03-03 21:00:00,2017-03-03 20:00:00,2017-03-03 20:09:00,2017-03-03 20:40:00,2017-03-03 20:20:00
"63",2017-03-04 19:10:00,2017-03-04 17:55:00,2017-03-04 16:55:00,2017-03-04 19:20:00,2017-03-04 19:55:00,2017-03-04 18:48:00,2017-03-04 20:40:00,2017-03-04 19:15:00
"64",2017-03-05 18:50:00,2017-03-05 17:20:00,2017-03-05 18:45:00,2017-03-05 19:15:00,2017-03-05 20:05:00,2017-03-05 18:58:00,2017-03-05 20:40:00,2017-03-05 17:25:00
"65",2017-03-06 17:50:00,2017-03-06 18:55:00,2017-03-06 19:55:00,2017-03-06 18:55:00,2017-03-06 19:45:00,2017-03-06 19:15:00,2017-03-06 20:40:00,2017-03-06 16:25:00
"66",2017-03-07 21:00:00,2017-03-07 13:20:00,2017-03-07 15:55:00,2017-03-07 20:00:00,2017-03-07 19:55:00,2017-03-07 18:11:00,2017-03-07 20:40:00,2017-03-07 19:35:00
"67",2017-03-08 19:00:00,2017-03-08 18:55:00,2017-03-08 20:50:00,2017-03-08 20:00:00,2017-03-08 20:05:00,2017-03-08 19:53:00,2017-03-08 20:40:00,2017-03-08 20:20:00
"68",2017-03-09 20:00:00,2017-03-09 21:00:00,2017-03-09 19:35:00,2017-03-09 21:00:00,2017-03-09 20:00:00,2017-03-09 20:27:00,2017-03-09 20:40:00,2017-03-09 20:40:00
"69",2017-03-10 20:00:00,2017-03-10 20:30:00,2017-03-10 21:50:00,2017-03-10 20:00:00,2017-03-10 20:40:00,2017-03-10 20:36:00,2017-03-10 20:40:00,2017-03-10 19:45:00
"70",2017-03-11 21:00:00,2017-03-11 19:55:00,2017-03-11 19:55:00,2017-03-11 21:00:00,2017-03-11 20:05:00,2017-03-11 20:30:00,2017-03-11 20:40:00,2017-03-11 19:50:00
